Referencia,FechaAlta,Tipo,Operación,Ciudad,Superficie,Precio Venta,Fecha Venta,Vendedor,Estatus,Días para Vender
69,4/26/16,Casa,Alquiler,Tijuana,298," $2,612,566 ",2/16/17,Pedro,Vendida,296
71,4/28/16,Terreno,Alquiler,Tijuana,228," $1,521,216 ",3/16/17,Carmen,Vendida,322
73,4/30/16,Local,Alquiler,Tijuana,91," $391,391 ",2/13/17,Luisa,Vendida,289
74,4/30/16,Terreno,Alquiler,Cancún,230," $1,386,900 ",3/21/17,Joaquín,Vendida,325
75,5/1/16,Casa,Alquiler,Tijuana,251," $2,439,971 ",2/14/17,Joaquín,Vendida,289
76,5/2/16,Industrial,Alquiler,Tijuana,261," $2,571,111 ",2/7/17,Carmen,Vendida,281
79,5/6/16,Local,Alquiler,Monterrey,138," $877,680 ",3/31/17,Luisa,Vendida,329
80,5/7/16,Industrial,Alquiler,Cancún,242," $2,110,966 ",1/22/17,Pedro,Vendida,260
82,5/7/16,Local,Alquiler,Cancún,227," $1,394,461 ",1/28/17,María,Vendida,266
83,5/8/16,Oficina,Alquiler,Tijuana,41," $361,661 ",1/28/17,Carmen,Vendida,265
84,5/11/16,Industrial,Alquiler,Cancún,131," $1,263,495 ",1/1/17,Jesús,Vendida,235
85,5/11/16,Oficina,Alquiler,Monterrey,187," $1,560,889 ",3/26/17,Joaquín,Vendida,319
86,5/13/16,Departamento,Alquiler,Monterrey,75," $418,725 ",4/24/17,Pedro,Vendida,346
88,5/14/16,Estacionamiento,Alquiler,Ciudad de México,154," $830,830 ",2/3/17,Luisa,Vendida,265
92,5/18/16,Terreno,Alquiler,Monterrey,68," $378,624 ",3/30/17,Carmen,Vendida,316
94,5/18/16,Industrial,Alquiler,Ciudad de México,76," $501,220 ",3/24/17,Jesús,Vendida,310
95,5/20/16,Estacionamiento,Alquiler,Ciudad de México,163," $1,317,529 ",5/3/17,Luisa,Vendida,348
96,5/21/16,Terreno,Alquiler,Tijuana,131," $822,811 ",5/21/17,Pedro,Vendida,365
98,5/24/16,Oficina,Alquiler,Tijuana,105," $525,210 ",4/16/17,Pedro,Vendida,327
100,5/26/16,Terreno,Alquiler,Ciudad de México,264," $2,582,184 ",4/24/17,Luisa,Vendida,333
102,5/28/16,Estacionamiento,Alquiler,Monterrey,137," $835,152 ",2/13/17,Jesús,Vendida,261
103,5/29/16,Oficina,Alquiler,Cancún,196," $882,784 ",2/2/17,Luisa,Vendida,249
105,5/30/16,Departamento,Alquiler,Tijuana,202," $1,560,450 ",2/6/17,Jesús,Vendida,252
107,5/31/16,Local,Alquiler,Tijuana,203," $946,792 ",4/17/17,María,Vendida,321
108,5/31/16,Casa,Alquiler,Monterrey,192," $1,159,296 ",5/23/17,Carmen,Vendida,357
112,6/2/16,Departamento,Alquiler,Tijuana,271," $2,682,900 ",6/2/17,Pedro,Vendida,365
113,6/2/16,Industrial,Alquiler,Ciudad de México,278," $2,188,138 ",1/21/17,María,Vendida,233
115,6/3/16,Casa,Alquiler,Ciudad de México,72," $702,576 ",3/22/17,Carmen,Vendida,292
118,6/4/16,Industrial,Alquiler,Tijuana,74," $729,788 ",1/22/17,Pedro,Vendida,232
120,6/5/16,Departamento,Alquiler,Cancún,189," $1,527,498 ",5/14/17,Luisa,Vendida,343
122,6/7/16,Industrial,Alquiler,Monterrey,287," $2,452,989 ",1/26/17,Joaquín,Vendida,233
123,6/8/16,Departamento,Alquiler,Ciudad de México,114," $1,019,160 ",5/29/17,Carmen,Vendida,355
126,6/10/16,Departamento,Alquiler,Ciudad de México,52," $338,364 ",1/4/17,Carmen,Vendida,208
127,6/12/16,Oficina,Alquiler,Ciudad de México,205," $1,980,300 ",1/1/17,Joaquín,Vendida,203
129,6/13/16,Industrial,Alquiler,Monterrey,233," $1,541,528 ",2/3/17,Jesús,Vendida,235
133,6/17/16,Casa,Alquiler,Cancún,57," $419,178 ",3/18/17,Jesús,Vendida,274
134,6/17/16,Estacionamiento,Alquiler,Ciudad de México,263," $1,779,458 ",1/24/17,Pedro,Vendida,221
136,6/18/16,Industrial,Alquiler,Ciudad de México,248," $1,674,744 ",5/1/17,Luisa,Vendida,317
139,6/20/16,Estacionamiento,Alquiler,Tijuana,244," $2,439,512 ",1/2/17,Carmen,Vendida,196
140,6/20/16,Terreno,Alquiler,Ciudad de México,104," $511,680 ",6/5/17,Luisa,Vendida,350
141,6/22/16,Oficina,Alquiler,Tijuana,77," $322,322 ",3/12/17,Joaquín,Vendida,263
142,6/22/16,Oficina,Alquiler,Ciudad de México,204," $924,732 ",4/28/17,María,Vendida,310
144,6/24/16,Casa,Alquiler,Monterrey,143," $836,836 ",6/15/17,Luisa,Vendida,356
145,6/24/16,Industrial,Alquiler,Ciudad de México,268," $2,628,812 ",3/15/17,Pedro,Vendida,264
150,6/25/16,Estacionamiento,Alquiler,Ciudad de México,105," $872,760 ",3/26/17,Carmen,Vendida,274
152,6/26/16,Oficina,Alquiler,Ciudad de México,88," $851,488 ",5/25/17,Carmen,Vendida,333
153,6/28/16,Terreno,Alquiler,Ciudad de México,189," $913,248 ",5/13/17,Luisa,Vendida,319
155,6/29/16,Oficina,Alquiler,Tijuana,257," $1,166,780 ",1/10/17,Jesús,Vendida,195
158,6/30/16,Departamento,Alquiler,Cancún,122," $1,093,608 ",2/27/17,Luisa,Vendida,242
161,7/1/16,Departamento,Alquiler,Ciudad de México,185," $1,306,840 ",5/17/17,Carmen,Vendida,320
163,7/2/16,Estacionamiento,Alquiler,Tijuana,234," $1,911,312 ",4/8/17,Luisa,Vendida,280
164,7/2/16,Departamento,Alquiler,Monterrey,62," $358,670 ",6/4/17,Luisa,Vendida,337
169,7/3/16,Terreno,Alquiler,Cancún,110," $1,004,740 ",7/3/17,Luisa,Vendida,365
171,7/4/16,Industrial,Alquiler,Ciudad de México,240," $2,238,000 ",5/6/17,Pedro,Vendida,306
173,7/5/16,Departamento,Alquiler,Ciudad de México,224," $2,087,904 ",1/29/17,Jesús,Vendida,208
178,7/6/16,Industrial,Alquiler,Tijuana,227," $1,175,860 ",7/5/17,Joaquín,Vendida,364
180,7/6/16,Casa,Alquiler,Tijuana,191," $1,841,622 ",1/21/17,Jesús,Vendida,199
181,7/8/16,Oficina,Alquiler,Tijuana,119," $720,902 ",6/23/17,Carmen,Vendida,350
183,7/9/16,Departamento,Alquiler,Tijuana,123," $682,773 ",1/30/17,Luisa,Vendida,205
184,7/9/16,Terreno,Alquiler,Ciudad de México,42," $279,342 ",1/24/17,María,Vendida,199
186,7/9/16,Terreno,Alquiler,Monterrey,270," $1,429,380 ",3/25/17,Carmen,Vendida,259
187,7/10/16,Departamento,Alquiler,Tijuana,159," $1,536,576 ",6/24/17,Pedro,Vendida,349
190,7/12/16,Casa,Alquiler,Ciudad de México,231," $2,273,040 ",2/4/17,Joaquín,Vendida,207
191,7/12/16,Industrial,Alquiler,Ciudad de México,206," $1,414,602 ",6/14/17,Carmen,Vendida,337
193,7/12/16,Industrial,Alquiler,Tijuana,112," $712,768 ",6/14/17,Carmen,Vendida,337
194,7/12/16,Local,Alquiler,Ciudad de México,182," $999,726 ",2/20/17,Carmen,Vendida,223
196,7/14/16,Industrial,Alquiler,Ciudad de México,280," $1,730,680 ",5/7/17,Carmen,Vendida,297
198,7/14/16,Local,Alquiler,Monterrey,117," $1,031,121 ",4/30/17,Luisa,Vendida,290
199,7/15/16,Industrial,Alquiler,Monterrey,279," $2,161,134 ",3/9/17,María,Vendida,237
200,7/16/16,Estacionamiento,Alquiler,Tijuana,111," $761,793 ",7/11/17,María,Vendida,360
201,7/16/16,Estacionamiento,Alquiler,Cancún,87," $565,587 ",1/25/17,Joaquín,Vendida,193
202,7/16/16,Casa,Alquiler,Monterrey,62," $251,596 ",6/20/17,Jesús,Vendida,339
208,7/21/16,Casa,Alquiler,Ciudad de México,275," $1,711,325 ",4/27/17,Luisa,Vendida,280
211,7/23/16,Departamento,Alquiler,Monterrey,198," $1,916,442 ",4/14/17,Joaquín,Vendida,265
212,7/24/16,Departamento,Alquiler,Monterrey,246," $1,875,012 ",3/8/17,Luisa,Vendida,227
213,7/25/16,Estacionamiento,Alquiler,Ciudad de México,53," $280,741 ",7/1/17,Jesús,Vendida,341
214,7/25/16,Departamento,Alquiler,Monterrey,161," $960,526 ",6/21/17,Joaquín,Vendida,331
216,7/25/16,Casa,Alquiler,Ciudad de México,112," $513,968 ",4/30/17,Jesús,Vendida,279
217,7/26/16,Local,Alquiler,Monterrey,266," $1,881,950 ",1/15/17,María,Vendida,173
220,7/26/16,Local,Alquiler,Cancún,167," $700,398 ",3/7/17,Luisa,Vendida,224
221,7/27/16,Terreno,Alquiler,Ciudad de México,79," $659,808 ",1/23/17,Pedro,Vendida,180
222,7/28/16,Local,Alquiler,Cancún,235," $1,897,155 ",7/1/17,Carmen,Vendida,338
223,7/28/16,Local,Alquiler,Ciudad de México,58," $251,430 ",5/30/17,Carmen,Vendida,306
224,7/28/16,Estacionamiento,Alquiler,Tijuana,280," $1,877,400 ",4/21/17,Joaquín,Vendida,267
230,8/1/16,Casa,Alquiler,Monterrey,257," $1,077,601 ",2/7/17,Luisa,Vendida,190
231,8/1/16,Estacionamiento,Alquiler,Monterrey,161," $1,050,203 ",2/4/17,Joaquín,Vendida,187
232,8/1/16,Oficina,Alquiler,Ciudad de México,77," $613,921 ",3/23/17,María,Vendida,234
233,8/2/16,Departamento,Alquiler,Tijuana,184," $1,286,344 ",7/2/17,Joaquín,Vendida,334
234,8/2/16,Local,Alquiler,Cancún,56," $469,168 ",3/8/17,Pedro,Vendida,218
237,8/3/16,Terreno,Alquiler,Monterrey,46," $435,712 ",3/31/17,Luisa,Vendida,240
238,8/3/16,Estacionamiento,Alquiler,Monterrey,145," $999,630 ",5/1/17,Pedro,Vendida,271
240,8/4/16,Industrial,Alquiler,Cancún,171," $1,148,436 ",6/29/17,Pedro,Vendida,329
245,8/8/16,Local,Alquiler,Ciudad de México,76," $738,568 ",3/22/17,Joaquín,Vendida,226
246,8/8/16,Oficina,Alquiler,Tijuana,289," $1,275,646 ",1/29/17,Pedro,Vendida,174
247,8/8/16,Casa,Alquiler,Monterrey,147," $919,632 ",6/23/17,Luisa,Vendida,319
249,8/9/16,Casa,Alquiler,Tijuana,174," $1,408,182 ",5/23/17,Jesús,Vendida,287
250,8/10/16,Local,Alquiler,Ciudad de México,149," $704,323 ",8/3/17,Luisa,Vendida,358
251,8/10/16,Departamento,Alquiler,Ciudad de México,212," $1,817,264 ",6/25/17,María,Vendida,319
252,8/10/16,Estacionamiento,Alquiler,Ciudad de México,45," $360,765 ",3/5/17,María,Vendida,207
257,8/11/16,Casa,Alquiler,Monterrey,92," $879,244 ",5/6/17,Joaquín,Vendida,268
258,8/12/16,Casa,Alquiler,Tijuana,241," $1,085,705 ",1/28/17,Pedro,Vendida,169
260,8/12/16,Departamento,Alquiler,Tijuana,231," $1,237,929 ",4/13/17,Luisa,Vendida,244
262,8/13/16,Oficina,Alquiler,Ciudad de México,78," $391,560 ",1/20/17,Pedro,Vendida,160
263,8/13/16,Terreno,Alquiler,Tijuana,93," $705,963 ",3/30/17,Pedro,Vendida,229
264,8/14/16,Terreno,Alquiler,Tijuana,58," $406,290 ",7/4/17,Carmen,Vendida,324
269,8/15/16,Industrial,Alquiler,Monterrey,222," $2,171,826 ",1/12/17,Carmen,Vendida,150
270,8/16/16,Departamento,Alquiler,Cancún,263," $2,061,131 ",7/28/17,Joaquín,Vendida,346
271,8/16/16,Estacionamiento,Alquiler,Ciudad de México,86," $494,758 ",3/4/17,María,Vendida,200
272,8/16/16,Casa,Alquiler,Cancún,212," $1,360,828 ",4/24/17,Jesús,Vendida,251
273,8/17/16,Estacionamiento,Alquiler,Monterrey,170," $1,567,060 ",2/19/17,María,Vendida,186
274,8/17/16,Estacionamiento,Alquiler,Tijuana,272," $1,972,816 ",8/14/17,Carmen,Vendida,362
276,8/17/16,Estacionamiento,Alquiler,Monterrey,167," $1,191,044 ",1/11/17,Luisa,Vendida,147
277,8/18/16,Departamento,Alquiler,Cancún,283," $2,576,432 ",5/13/17,María,Vendida,268
278,8/18/16,Local,Alquiler,Monterrey,197," $981,651 ",1/17/17,Jesús,Vendida,152
279,8/18/16,Departamento,Alquiler,Cancún,181," $1,161,477 ",5/7/17,María,Vendida,262
280,8/18/16,Estacionamiento,Alquiler,Tijuana,95," $938,030 ",6/3/17,María,Vendida,289
282,8/19/16,Departamento,Alquiler,Monterrey,277," $2,646,181 ",7/4/17,Carmen,Vendida,319
283,8/19/16,Industrial,Alquiler,Cancún,182," $1,243,060 ",7/16/17,María,Vendida,331
286,8/20/16,Industrial,Alquiler,Ciudad de México,255," $2,338,095 ",8/10/17,Carmen,Vendida,355
287,8/20/16,Industrial,Alquiler,Cancún,164," $1,162,104 ",5/10/17,Pedro,Vendida,263
289,8/20/16,Estacionamiento,Alquiler,Ciudad de México,168," $1,192,800 ",7/14/17,Joaquín,Vendida,328
292,8/21/16,Departamento,Alquiler,Ciudad de México,46," $386,354 ",5/4/17,Pedro,Vendida,256
295,8/22/16,Oficina,Alquiler,Monterrey,207," $1,953,873 ",6/10/17,Luisa,Vendida,292
300,8/23/16,Casa,Alquiler,Tijuana,72," $500,400 ",1/22/17,María,Vendida,152
302,8/24/16,Estacionamiento,Alquiler,Monterrey,254," $1,963,166 ",7/27/17,Joaquín,Vendida,337
303,8/24/16,Local,Alquiler,Tijuana,47," $463,843 ",2/19/17,Joaquín,Vendida,179
304,8/24/16,Local,Alquiler,Monterrey,252," $2,057,832 ",3/14/17,Luisa,Vendida,202
305,8/25/16,Local,Alquiler,Monterrey,163," $1,520,627 ",4/20/17,Pedro,Vendida,238
311,8/28/16,Terreno,Alquiler,Tijuana,235," $1,277,930 ",4/7/17,Luisa,Vendida,222
312,8/28/16,Local,Alquiler,Cancún,186," $1,225,926 ",5/16/17,Luisa,Vendida,261
315,8/29/16,Oficina,Alquiler,Tijuana,62," $329,716 ",5/10/17,Pedro,Vendida,254
316,8/30/16,Industrial,Alquiler,Cancún,54," $227,178 ",1/24/17,Joaquín,Vendida,147
319,8/30/16,Departamento,Alquiler,Cancún,249," $1,029,864 ",5/6/17,Carmen,Vendida,249
320,8/30/16,Industrial,Alquiler,Cancún,284," $1,166,104 ",4/8/17,Jesús,Vendida,221
322,8/30/16,Departamento,Alquiler,Ciudad de México,121," $1,049,433 ",6/7/17,Jesús,Vendida,281
325,8/31/16,Terreno,Alquiler,Cancún,57," $330,771 ",1/5/17,María,Vendida,127
326,9/1/16,Departamento,Alquiler,Ciudad de México,240," $1,214,880 ",4/9/17,Luisa,Vendida,220
328,9/2/16,Estacionamiento,Alquiler,Cancún,81," $723,492 ",7/10/17,Joaquín,Vendida,311
329,9/2/16,Casa,Alquiler,Monterrey,118," $827,062 ",3/22/17,Joaquín,Vendida,201
331,9/3/16,Departamento,Alquiler,Ciudad de México,88," $392,832 ",1/28/17,María,Vendida,147
333,9/4/16,Terreno,Alquiler,Cancún,256," $1,379,328 ",3/27/17,Luisa,Vendida,204
334,9/4/16,Local,Alquiler,Tijuana,163," $1,570,016 ",8/4/17,Carmen,Vendida,334
335,9/5/16,Estacionamiento,Alquiler,Monterrey,187," $789,140 ",5/16/17,Carmen,Vendida,253
336,9/5/16,Terreno,Alquiler,Monterrey,73," $542,974 ",6/14/17,Luisa,Vendida,282
337,9/6/16,Local,Alquiler,Monterrey,299," $1,251,315 ",1/20/17,Luisa,Vendida,136
338,9/7/16,Departamento,Alquiler,Monterrey,295," $2,553,225 ",1/14/17,Carmen,Vendida,129
340,9/8/16,Departamento,Alquiler,Tijuana,278," $2,540,364 ",4/12/17,Carmen,Vendida,216
341,9/8/16,Oficina,Alquiler,Cancún,271," $1,165,842 ",2/10/17,Luisa,Vendida,155
342,9/8/16,Departamento,Alquiler,Monterrey,258," $1,501,560 ",1/5/17,Joaquín,Vendida,119
345,9/9/16,Casa,Alquiler,Cancún,210," $1,181,670 ",7/13/17,Jesús,Vendida,307
347,9/10/16,Estacionamiento,Alquiler,Ciudad de México,244," $2,280,668 ",7/16/17,María,Vendida,309
349,9/10/16,Casa,Alquiler,Ciudad de México,235," $2,135,210 ",5/14/17,Pedro,Vendida,246
350,9/10/16,Oficina,Alquiler,Ciudad de México,43," $329,681 ",1/19/17,Jesús,Vendida,131
351,9/10/16,Oficina,Alquiler,Tijuana,206," $1,793,848 ",9/3/17,Luisa,Vendida,358
352,9/10/16,Local,Alquiler,Cancún,47," $457,498 ",2/23/17,Jesús,Vendida,166
353,9/11/16,Terreno,Alquiler,Monterrey,161," $736,092 ",2/26/17,María,Vendida,168
357,9/12/16,Industrial,Alquiler,Monterrey,86," $611,546 ",2/10/17,Carmen,Vendida,151
358,9/12/16,Casa,Alquiler,Monterrey,54," $518,508 ",2/16/17,María,Vendida,157
359,9/12/16,Oficina,Alquiler,Tijuana,241," $2,085,373 ",7/7/17,Joaquín,Vendida,298
360,9/13/16,Oficina,Alquiler,Tijuana,180," $901,980 ",2/7/17,Carmen,Vendida,147
363,9/16/16,Casa,Alquiler,Ciudad de México,197," $1,905,187 ",9/15/17,Pedro,Vendida,364
364,9/16/16,Estacionamiento,Alquiler,Cancún,284," $1,830,664 ",1/2/17,Pedro,Vendida,108
366,9/17/16,Oficina,Alquiler,Monterrey,164," $1,225,244 ",8/7/17,Jesús,Vendida,324
368,9/18/16,Oficina,Alquiler,Tijuana,89," $588,023 ",6/26/17,Joaquín,Vendida,281
370,9/19/16,Terreno,Alquiler,Ciudad de México,85," $780,980 ",7/20/17,Joaquín,Vendida,304
371,9/19/16,Terreno,Alquiler,Ciudad de México,294," $1,201,578 ",1/31/17,Luisa,Vendida,134
373,9/21/16,Estacionamiento,Alquiler,Tijuana,254," $2,328,418 ",1/6/17,Joaquín,Vendida,107
378,9/22/16,Oficina,Alquiler,Cancún,136," $761,056 ",4/11/17,Jesús,Vendida,201
379,9/22/16,Industrial,Alquiler,Monterrey,228," $2,145,480 ",6/21/17,María,Vendida,272
381,9/23/16,Estacionamiento,Alquiler,Monterrey,294," $1,335,936 ",7/14/17,Carmen,Vendida,294
385,9/25/16,Departamento,Alquiler,Cancún,251," $1,206,557 ",5/20/17,María,Vendida,237
387,9/26/16,Industrial,Alquiler,Cancún,50," $308,850 ",8/10/17,Pedro,Vendida,318
390,9/26/16,Departamento,Alquiler,Cancún,117," $823,680 ",1/19/17,María,Vendida,115
391,9/26/16,Casa,Alquiler,Tijuana,299," $1,695,330 ",7/14/17,Joaquín,Vendida,291
394,9/27/16,Departamento,Alquiler,Monterrey,291," $2,411,808 ",2/28/17,Joaquín,Vendida,154
395,9/27/16,Oficina,Alquiler,Monterrey,210," $1,122,240 ",8/27/17,Pedro,Vendida,334
396,9/28/16,Local,Alquiler,Monterrey,291," $2,354,481 ",1/26/17,Carmen,Vendida,120
397,9/29/16,Departamento,Alquiler,Monterrey,204," $1,044,480 ",4/17/17,Jesús,Vendida,200
398,9/29/16,Departamento,Alquiler,Tijuana,95," $510,150 ",5/7/17,Jesús,Vendida,220
405,10/5/16,Local,Alquiler,Cancún,244," $2,332,152 ",6/5/17,Joaquín,Vendida,243
408,10/5/16,Terreno,Alquiler,Cancún,68," $611,796 ",6/18/17,Luisa,Vendida,256
409,10/6/16,Local,Alquiler,Tijuana,228," $1,554,732 ",8/17/17,Jesús,Vendida,315
410,10/6/16,Local,Alquiler,Cancún,256," $1,877,760 ",4/14/17,María,Vendida,190
412,10/6/16,Terreno,Alquiler,Ciudad de México,158," $1,217,390 ",4/27/17,Luisa,Vendida,203
414,10/6/16,Oficina,Alquiler,Monterrey,219," $1,455,693 ",1/28/17,Joaquín,Vendida,114
415,10/6/16,Estacionamiento,Alquiler,Cancún,83," $778,706 ",9/11/17,María,Vendida,340
416,10/6/16,Casa,Alquiler,Tijuana,228," $1,685,148 ",10/5/17,Luisa,Vendida,364
426,10/10/16,Casa,Alquiler,Cancún,74," $338,476 ",5/19/17,Jesús,Vendida,221
427,10/10/16,Casa,Alquiler,Ciudad de México,110," $950,290 ",6/8/17,Carmen,Vendida,241
430,10/11/16,Terreno,Alquiler,Cancún,278," $2,209,822 ",2/27/17,Jesús,Vendida,139
431,10/12/16,Local,Alquiler,Cancún,67," $653,250 ",2/19/17,María,Vendida,130
432,10/13/16,Local,Alquiler,Cancún,159," $1,323,198 ",8/26/17,Jesús,Vendida,317
434,10/13/16,Local,Alquiler,Cancún,163," $1,115,409 ",3/14/17,María,Vendida,152
436,10/14/16,Departamento,Alquiler,Tijuana,243," $1,469,178 ",2/18/17,Pedro,Vendida,127
438,10/15/16,Terreno,Alquiler,Cancún,259," $1,891,736 ",7/18/17,María,Vendida,276
439,10/15/16,Oficina,Alquiler,Monterrey,119," $630,224 ",4/9/17,Joaquín,Vendida,176
445,10/17/16,Oficina,Alquiler,Tijuana,192," $1,627,200 ",1/27/17,Luisa,Vendida,102
447,10/18/16,Estacionamiento,Alquiler,Tijuana,232," $2,180,104 ",7/19/17,Joaquín,Vendida,274
448,10/18/16,Terreno,Alquiler,Tijuana,158," $878,638 ",5/5/17,Joaquín,Vendida,199
449,10/18/16,Terreno,Alquiler,Cancún,49," $244,608 ",4/21/17,Pedro,Vendida,185
451,10/19/16,Departamento,Alquiler,Cancún,206," $1,688,170 ",7/17/17,Jesús,Vendida,271
455,10/21/16,Departamento,Alquiler,Monterrey,60," $484,560 ",8/24/17,Jesús,Vendida,307
457,10/21/16,Oficina,Alquiler,Monterrey,239," $1,709,567 ",6/10/17,Jesús,Vendida,232
459,10/23/16,Industrial,Alquiler,Tijuana,199," $1,278,774 ",4/6/17,Pedro,Vendida,165
463,10/24/16,Casa,Alquiler,Cancún,87," $574,200 ",5/19/17,Carmen,Vendida,207
464,10/24/16,Oficina,Alquiler,Ciudad de México,212," $1,968,632 ",10/23/17,Pedro,Vendida,364
469,10/27/16,Departamento,Alquiler,Monterrey,62," $583,110 ",2/19/17,Joaquín,Vendida,115
471,10/27/16,Estacionamiento,Alquiler,Monterrey,114," $1,040,478 ",4/29/17,Carmen,Vendida,184
475,10/30/16,Local,Alquiler,Cancún,121," $593,021 ",2/28/17,Luisa,Vendida,121
477,10/31/16,Terreno,Alquiler,Cancún,246," $2,214,984 ",9/22/17,Joaquín,Vendida,326
478,10/31/16,Departamento,Alquiler,Monterrey,121," $731,929 ",6/27/17,Pedro,Vendida,239
479,10/31/16,Oficina,Alquiler,Cancún,223," $1,566,129 ",4/6/17,Jesús,Vendida,157
481,11/1/16,Departamento,Alquiler,Monterrey,159," $1,391,091 ",6/16/17,Carmen,Vendida,227
482,11/1/16,Casa,Alquiler,Monterrey,157," $1,032,118 ",6/16/17,Luisa,Vendida,227
483,11/2/16,Casa,Alquiler,Monterrey,237," $1,768,020 ",4/27/17,Luisa,Vendida,176
485,11/2/16,Departamento,Alquiler,Ciudad de México,299," $2,430,272 ",3/26/17,Carmen,Vendida,144
489,11/3/16,Oficina,Alquiler,Ciudad de México,251," $1,821,758 ",6/11/17,Luisa,Vendida,220
492,11/3/16,Departamento,Alquiler,Monterrey,96," $891,456 ",7/28/17,Pedro,Vendida,267
493,11/4/16,Local,Alquiler,Tijuana,152," $631,560 ",10/28/17,Joaquín,Vendida,358
494,11/6/16,Oficina,Alquiler,Tijuana,246," $2,328,636 ",3/10/17,Luisa,Vendida,124
496,11/6/16,Estacionamiento,Alquiler,Monterrey,110," $523,160 ",9/11/17,Joaquín,Vendida,309
500,11/7/16,Estacionamiento,Alquiler,Ciudad de México,183," $1,082,079 ",9/7/17,Carmen,Vendida,304
502,11/8/16,Casa,Alquiler,Cancún,88," $726,352 ",6/13/17,Joaquín,Vendida,217
503,11/9/16,Departamento,Alquiler,Monterrey,185," $1,390,460 ",8/29/17,Jesús,Vendida,293
504,11/9/16,Industrial,Alquiler,Ciudad de México,295," $2,923,155 ",5/6/17,Luisa,Vendida,178
