Referencia,FechaAlta,Tipo,Operación,Ciudad,Superficie,Precio Venta,Fecha Venta,Vendedor,Estatus,Días para Vender
37,4/5/16,Casa,Alquiler,Tijuana,170," $995,520 ",2/1/17,Jesús,Vendida,302
38,4/5/16,Departamento,Alquiler,Ciudad de México,268," $2,338,032 ",1/2/17,Pedro,Vendida,272
39,4/7/16,Local,Venta,Ciudad de México,298," $1,870,546 ",3/31/17,Luisa,Vendida,358
40,4/9/16,Local,Venta,Monterrey,287," $1,936,102 ",4/8/17,Jesús,Vendida,364
41,4/9/16,Departamento,Alquiler,Ciudad de México,175," $747,075 ",2/1/17,Pedro,Vendida,298
42,4/9/16,Terreno,Venta,Ciudad de México,124," $1,130,632 ",1/22/17,Pedro,Vendida,288
43,4/10/16,Local,Alquiler,Tijuana,49," $424,536 ",3/4/17,Pedro,Vendida,328
44,4/11/16,Terreno,Alquiler,Ciudad de México,261," $1,220,697 ",2/9/17,Carmen,Vendida,304
45,4/11/16,Terreno,Alquiler,Tijuana,242," $1,099,648 ",2/13/17,María,Vendida,308
46,4/11/16,Estacionamiento,Venta,Cancún,138," $1,183,212 ",2/26/17,Luisa,Vendida,321
47,4/12/16,Casa,Alquiler,Ciudad de México,201," $1,107,108 ",4/7/17,Joaquín,Vendida,360
48,4/14/16,Estacionamiento,Alquiler,Cancún,258," $1,770,912 ",3/2/17,Jesús,Vendida,322
49,4/15/16,Industrial,Alquiler,Monterrey,150," $968,250 ",2/15/17,María,Vendida,306
50,4/15/16,Local,Alquiler,Ciudad de México,237," $1,093,281 ",1/2/17,Jesús,Vendida,262
51,4/15/16,Departamento,Alquiler,Ciudad de México,120," $722,880 ",2/14/17,Joaquín,Vendida,305
52,4/15/16,Departamento,Alquiler,Ciudad de México,113," $1,102,880 ",3/17/17,Jesús,Vendida,336
53,4/17/16,Estacionamiento,Venta,Tijuana,209," $2,038,586 ",1/6/17,Jesús,Vendida,264
54,4/18/16,Terreno,Venta,Monterrey,244," $1,414,956 ",2/26/17,María,Vendida,314
55,4/18/16,Oficina,Venta,Monterrey,258," $1,081,278 ",4/13/17,Carmen,Vendida,360
56,4/19/16,Industrial,Alquiler,Cancún,143," $712,712 ",1/10/17,Jesús,Vendida,266
57,4/19/16,Industrial,Venta,Tijuana,65," $523,770 ",1/24/17,Jesús,Vendida,280
58,4/19/16,Casa,Alquiler,Ciudad de México,177," $924,294 ",1/19/17,Luisa,Vendida,275
59,4/20/16,Terreno,Venta,Ciudad de México,163," $895,359 ",2/17/17,Pedro,Vendida,303
60,4/20/16,Oficina,Alquiler,Monterrey,227," $1,437,818 ",3/27/17,Jesús,Vendida,341
61,4/21/16,Estacionamiento,Venta,Tijuana,54," $258,444 ",3/8/17,Pedro,Vendida,321
62,4/22/16,Estacionamiento,Venta,Monterrey,82," $430,418 ",2/9/17,Luisa,Vendida,293
63,4/22/16,Oficina,Venta,Monterrey,86," $589,960 ",3/18/17,Carmen,Vendida,330
64,4/22/16,Estacionamiento,Alquiler,Tijuana,235," $1,773,780 ",3/28/17,Pedro,Vendida,340
65,4/23/16,Industrial,Venta,Monterrey,45," $307,170 ",4/16/17,Joaquín,Vendida,358
66,4/23/16,Terreno,Alquiler,Cancún,85," $683,230 ",2/6/17,Carmen,Vendida,289
67,4/24/16,Casa,Alquiler,Cancún,178," $1,458,176 ",2/12/17,Carmen,Vendida,294
68,4/24/16,Industrial,Alquiler,Monterrey,211," $1,171,894 ",3/22/17,Pedro,Vendida,332
69,4/26/16,Casa,Alquiler,Tijuana,298," $2,612,566 ",2/16/17,Pedro,Vendida,296
70,4/27/16,Industrial,Venta,Ciudad de México,196," $1,645,616 ",4/14/17,Carmen,Vendida,352
71,4/28/16,Terreno,Alquiler,Tijuana,228," $1,521,216 ",3/16/17,Carmen,Vendida,322
72,4/29/16,Industrial,Venta,Monterrey,189," $1,579,284 ",1/7/17,Luisa,Vendida,253
73,4/30/16,Local,Alquiler,Tijuana,91," $391,391 ",2/13/17,Luisa,Vendida,289
74,4/30/16,Terreno,Alquiler,Cancún,230," $1,386,900 ",3/21/17,Joaquín,Vendida,325
75,5/1/16,Casa,Alquiler,Tijuana,251," $2,439,971 ",2/14/17,Joaquín,Vendida,289
76,5/2/16,Industrial,Alquiler,Tijuana,261," $2,571,111 ",2/7/17,Carmen,Vendida,281
77,5/4/16,Terreno,Venta,Cancún,180," $1,022,040 ",3/28/17,Jesús,Vendida,328
78,5/4/16,Terreno,Venta,Tijuana,273," $1,369,368 ",4/17/17,Jesús,Vendida,348
79,5/6/16,Local,Alquiler,Monterrey,138," $877,680 ",3/31/17,Luisa,Vendida,329
80,5/7/16,Industrial,Alquiler,Cancún,242," $2,110,966 ",1/22/17,Pedro,Vendida,260
81,5/7/16,Departamento,Venta,Ciudad de México,148," $634,920 ",4/27/17,Joaquín,Vendida,355
82,5/7/16,Local,Alquiler,Cancún,227," $1,394,461 ",1/28/17,María,Vendida,266
83,5/8/16,Oficina,Alquiler,Tijuana,41," $361,661 ",1/28/17,Carmen,Vendida,265
84,5/11/16,Industrial,Alquiler,Cancún,131," $1,263,495 ",1/1/17,Jesús,Vendida,235
85,5/11/16,Oficina,Alquiler,Monterrey,187," $1,560,889 ",3/26/17,Joaquín,Vendida,319
86,5/13/16,Departamento,Alquiler,Monterrey,75," $418,725 ",4/24/17,Pedro,Vendida,346
87,5/14/16,Departamento,Venta,Monterrey,122," $885,476 ",3/30/17,Carmen,Vendida,320
88,5/14/16,Estacionamiento,Alquiler,Ciudad de México,154," $830,830 ",2/3/17,Luisa,Vendida,265
89,5/15/16,Estacionamiento,Venta,Ciudad de México,130," $1,176,630 ",3/18/17,Jesús,Vendida,307
90,5/16/16,Local,Venta,Tijuana,156," $896,220 ",3/19/17,Luisa,Vendida,307
91,5/17/16,Local,Venta,Ciudad de México,291," $1,505,925 ",3/10/17,Luisa,Vendida,297
92,5/18/16,Terreno,Alquiler,Monterrey,68," $378,624 ",3/30/17,Carmen,Vendida,316
93,5/18/16,Oficina,Venta,Ciudad de México,137," $961,192 ",5/10/17,Jesús,Vendida,357
94,5/18/16,Industrial,Alquiler,Ciudad de México,76," $501,220 ",3/24/17,Jesús,Vendida,310
95,5/20/16,Estacionamiento,Alquiler,Ciudad de México,163," $1,317,529 ",5/3/17,Luisa,Vendida,348
96,5/21/16,Terreno,Alquiler,Tijuana,131," $822,811 ",5/21/17,Pedro,Vendida,365
97,5/22/16,Local,Venta,Cancún,230," $1,398,630 ",4/10/17,María,Vendida,323
98,5/24/16,Oficina,Alquiler,Tijuana,105," $525,210 ",4/16/17,Pedro,Vendida,327
99,5/25/16,Local,Venta,Ciudad de México,269," $2,586,704 ",3/27/17,Carmen,Vendida,306
100,5/26/16,Terreno,Alquiler,Ciudad de México,264," $2,582,184 ",4/24/17,Luisa,Vendida,333
101,5/26/16,Estacionamiento,Venta,Tijuana,197," $1,746,405 ",3/20/17,Luisa,Vendida,298
102,5/28/16,Estacionamiento,Alquiler,Monterrey,137," $835,152 ",2/13/17,Jesús,Vendida,261
103,5/29/16,Oficina,Alquiler,Cancún,196," $882,784 ",2/2/17,Luisa,Vendida,249
104,5/30/16,Terreno,Venta,Monterrey,300," $1,483,500 ",3/29/17,Carmen,Vendida,303
105,5/30/16,Departamento,Alquiler,Tijuana,202," $1,560,450 ",2/6/17,Jesús,Vendida,252
106,5/31/16,Departamento,Venta,Monterrey,225," $1,164,375 ",3/4/17,Pedro,Vendida,277
107,5/31/16,Local,Alquiler,Tijuana,203," $946,792 ",4/17/17,María,Vendida,321
108,5/31/16,Casa,Alquiler,Monterrey,192," $1,159,296 ",5/23/17,Carmen,Vendida,357
109,6/1/16,Estacionamiento,Venta,Tijuana,177," $933,321 ",5/10/17,Joaquín,Vendida,343
110,6/1/16,Industrial,Venta,Cancún,65," $483,860 ",1/24/17,Pedro,Vendida,237
111,6/1/16,Estacionamiento,Venta,Cancún,208," $1,225,120 ",1/22/17,Carmen,Vendida,235
112,6/2/16,Departamento,Alquiler,Tijuana,271," $2,682,900 ",6/2/17,Pedro,Vendida,365
113,6/2/16,Industrial,Alquiler,Ciudad de México,278," $2,188,138 ",1/21/17,María,Vendida,233
114,6/2/16,Departamento,Venta,Monterrey,90," $770,040 ",4/26/17,Jesús,Vendida,328
115,6/3/16,Casa,Alquiler,Ciudad de México,72," $702,576 ",3/22/17,Carmen,Vendida,292
116,6/3/16,Local,Venta,Cancún,224," $1,804,992 ",1/20/17,Jesús,Vendida,231
117,6/3/16,Oficina,Venta,Tijuana,207," $1,883,700 ",2/23/17,Carmen,Vendida,265
118,6/4/16,Industrial,Alquiler,Tijuana,74," $729,788 ",1/22/17,Pedro,Vendida,232
119,6/4/16,Estacionamiento,Venta,Monterrey,293," $1,750,089 ",4/5/17,Luisa,Vendida,305
120,6/5/16,Departamento,Alquiler,Cancún,189," $1,527,498 ",5/14/17,Luisa,Vendida,343
121,6/7/16,Terreno,Venta,Tijuana,254," $1,381,506 ",4/14/17,Luisa,Vendida,311
122,6/7/16,Industrial,Alquiler,Monterrey,287," $2,452,989 ",1/26/17,Joaquín,Vendida,233
123,6/8/16,Departamento,Alquiler,Ciudad de México,114," $1,019,160 ",5/29/17,Carmen,Vendida,355
124,6/9/16,Terreno,Venta,Tijuana,135," $1,209,735 ",5/5/17,Pedro,Vendida,330
125,6/10/16,Departamento,Venta,Tijuana,81," $583,362 ",5/4/17,Carmen,Vendida,328
126,6/10/16,Departamento,Alquiler,Ciudad de México,52," $338,364 ",1/4/17,Carmen,Vendida,208
127,6/12/16,Oficina,Alquiler,Ciudad de México,205," $1,980,300 ",1/1/17,Joaquín,Vendida,203
128,6/13/16,Terreno,Venta,Cancún,144," $852,480 ",6/4/17,Carmen,Vendida,356
129,6/13/16,Industrial,Alquiler,Monterrey,233," $1,541,528 ",2/3/17,Jesús,Vendida,235
130,6/14/16,Estacionamiento,Venta,Monterrey,107," $909,821 ",5/3/17,Luisa,Vendida,323
131,6/16/16,Estacionamiento,Venta,Cancún,211," $872,063 ",2/26/17,Pedro,Vendida,255
132,6/17/16,Estacionamiento,Venta,Tijuana,102," $1,005,312 ",6/9/17,Luisa,Vendida,357
133,6/17/16,Casa,Alquiler,Cancún,57," $419,178 ",3/18/17,Jesús,Vendida,274
134,6/17/16,Estacionamiento,Alquiler,Ciudad de México,263," $1,779,458 ",1/24/17,Pedro,Vendida,221
135,6/17/16,Local,Venta,Monterrey,118," $788,948 ",4/8/17,Pedro,Vendida,295
136,6/18/16,Industrial,Alquiler,Ciudad de México,248," $1,674,744 ",5/1/17,Luisa,Vendida,317
137,6/18/16,Oficina,Venta,Tijuana,54," $406,998 ",4/25/17,Joaquín,Vendida,311
138,6/19/16,Terreno,Venta,Monterrey,185," $1,616,900 ",4/8/17,Jesús,Vendida,293
139,6/20/16,Estacionamiento,Alquiler,Tijuana,244," $2,439,512 ",1/2/17,Carmen,Vendida,196
140,6/20/16,Terreno,Alquiler,Ciudad de México,104," $511,680 ",6/5/17,Luisa,Vendida,350
141,6/22/16,Oficina,Alquiler,Tijuana,77," $322,322 ",3/12/17,Joaquín,Vendida,263
142,6/22/16,Oficina,Alquiler,Ciudad de México,204," $924,732 ",4/28/17,María,Vendida,310
143,6/23/16,Casa,Venta,Monterrey,214," $1,962,380 ",6/1/17,Pedro,Vendida,343
144,6/24/16,Casa,Alquiler,Monterrey,143," $836,836 ",6/15/17,Luisa,Vendida,356
145,6/24/16,Industrial,Alquiler,Ciudad de México,268," $2,628,812 ",3/15/17,Pedro,Vendida,264
146,6/24/16,Local,Venta,Monterrey,126," $520,758 ",6/16/17,Pedro,Vendida,357
147,6/24/16,Local,Venta,Cancún,215," $870,105 ",4/2/17,Jesús,Vendida,282
148,6/25/16,Casa,Venta,Ciudad de México,155," $801,350 ",1/14/17,Pedro,Vendida,203
149,6/25/16,Terreno,Venta,Cancún,297," $1,820,016 ",1/8/17,María,Vendida,197
150,6/25/16,Estacionamiento,Alquiler,Ciudad de México,105," $872,760 ",3/26/17,Carmen,Vendida,274
151,6/25/16,Terreno,Venta,Monterrey,199," $1,622,646 ",6/23/17,Jesús,Vendida,363
152,6/26/16,Oficina,Alquiler,Ciudad de México,88," $851,488 ",5/25/17,Carmen,Vendida,333
153,6/28/16,Terreno,Alquiler,Ciudad de México,189," $913,248 ",5/13/17,Luisa,Vendida,319
154,6/28/16,Oficina,Venta,Monterrey,232," $1,028,224 ",5/26/17,Luisa,Vendida,332
155,6/29/16,Oficina,Alquiler,Tijuana,257," $1,166,780 ",1/10/17,Jesús,Vendida,195
156,6/29/16,Industrial,Venta,Cancún,243," $1,983,123 ",6/16/17,María,Vendida,352
157,6/29/16,Oficina,Venta,Ciudad de México,134," $946,710 ",1/4/17,Carmen,Vendida,189
158,6/30/16,Departamento,Alquiler,Cancún,122," $1,093,608 ",2/27/17,Luisa,Vendida,242
159,6/30/16,Departamento,Venta,Monterrey,283," $2,199,476 ",6/4/17,Luisa,Vendida,339
160,6/30/16,Casa,Venta,Ciudad de México,261," $2,475,063 ",1/21/17,Carmen,Vendida,205
161,7/1/16,Departamento,Alquiler,Ciudad de México,185," $1,306,840 ",5/17/17,Carmen,Vendida,320
162,7/1/16,Casa,Venta,Cancún,60," $253,920 ",1/30/17,Luisa,Vendida,213
163,7/2/16,Estacionamiento,Alquiler,Tijuana,234," $1,911,312 ",4/8/17,Luisa,Vendida,280
164,7/2/16,Departamento,Alquiler,Monterrey,62," $358,670 ",6/4/17,Luisa,Vendida,337
165,7/3/16,Local,Venta,Ciudad de México,282," $1,298,328 ",3/10/17,Jesús,Vendida,250
166,7/3/16,Departamento,Venta,Tijuana,274," $1,729,762 ",7/3/17,Luisa,Vendida,365
167,7/3/16,Oficina,Venta,Tijuana,268," $2,578,696 ",6/28/17,Luisa,Vendida,360
168,7/3/16,Oficina,Venta,Monterrey,209," $1,316,073 ",4/2/17,Pedro,Vendida,273
169,7/3/16,Terreno,Alquiler,Cancún,110," $1,004,740 ",7/3/17,Luisa,Vendida,365
170,7/4/16,Casa,Venta,Tijuana,61," $531,432 ",5/22/17,Joaquín,Vendida,322
171,7/4/16,Industrial,Alquiler,Ciudad de México,240," $2,238,000 ",5/6/17,Pedro,Vendida,306
172,7/5/16,Casa,Venta,Ciudad de México,229," $965,006 ",2/2/17,Pedro,Vendida,212
173,7/5/16,Departamento,Alquiler,Ciudad de México,224," $2,087,904 ",1/29/17,Jesús,Vendida,208
174,7/5/16,Departamento,Venta,Tijuana,72," $647,352 ",6/7/17,María,Vendida,337
175,7/5/16,Oficina,Venta,Ciudad de México,186," $1,216,254 ",4/9/17,María,Vendida,278
176,7/5/16,Industrial,Venta,Cancún,172," $860,172 ",5/16/17,Luisa,Vendida,315
177,7/6/16,Estacionamiento,Venta,Cancún,80," $428,240 ",2/1/17,Pedro,Vendida,210
178,7/6/16,Industrial,Alquiler,Tijuana,227," $1,175,860 ",7/5/17,Joaquín,Vendida,364
179,7/6/16,Industrial,Venta,Ciudad de México,40," $258,560 ",3/22/17,Jesús,Vendida,259
180,7/6/16,Casa,Alquiler,Tijuana,191," $1,841,622 ",1/21/17,Jesús,Vendida,199
181,7/8/16,Oficina,Alquiler,Tijuana,119," $720,902 ",6/23/17,Carmen,Vendida,350
182,7/8/16,Industrial,Venta,Monterrey,174," $1,313,526 ",1/16/17,Pedro,Vendida,192
183,7/9/16,Departamento,Alquiler,Tijuana,123," $682,773 ",1/30/17,Luisa,Vendida,205
184,7/9/16,Terreno,Alquiler,Ciudad de México,42," $279,342 ",1/24/17,María,Vendida,199
185,7/9/16,Casa,Venta,Ciudad de México,223," $1,293,400 ",3/3/17,Carmen,Vendida,237
186,7/9/16,Terreno,Alquiler,Monterrey,270," $1,429,380 ",3/25/17,Carmen,Vendida,259
187,7/10/16,Departamento,Alquiler,Tijuana,159," $1,536,576 ",6/24/17,Pedro,Vendida,349
188,7/10/16,Estacionamiento,Venta,Ciudad de México,280," $1,249,360 ",1/9/17,Pedro,Vendida,183
189,7/11/16,Estacionamiento,Venta,Monterrey,162," $1,594,404 ",3/7/17,María,Vendida,239
190,7/12/16,Casa,Alquiler,Ciudad de México,231," $2,273,040 ",2/4/17,Joaquín,Vendida,207
191,7/12/16,Industrial,Alquiler,Ciudad de México,206," $1,414,602 ",6/14/17,Carmen,Vendida,337
192,7/12/16,Local,Venta,Ciudad de México,86," $446,856 ",6/12/17,María,Vendida,335
193,7/12/16,Industrial,Alquiler,Tijuana,112," $712,768 ",6/14/17,Carmen,Vendida,337
194,7/12/16,Local,Alquiler,Ciudad de México,182," $999,726 ",2/20/17,Carmen,Vendida,223
195,7/13/16,Estacionamiento,Venta,Cancún,72," $606,024 ",4/12/17,Carmen,Vendida,273
196,7/14/16,Industrial,Alquiler,Ciudad de México,280," $1,730,680 ",5/7/17,Carmen,Vendida,297
197,7/14/16,Casa,Venta,Monterrey,197," $1,292,123 ",6/30/17,Joaquín,Vendida,351
198,7/14/16,Local,Alquiler,Monterrey,117," $1,031,121 ",4/30/17,Luisa,Vendida,290
199,7/15/16,Industrial,Alquiler,Monterrey,279," $2,161,134 ",3/9/17,María,Vendida,237
200,7/16/16,Estacionamiento,Alquiler,Tijuana,111," $761,793 ",7/11/17,María,Vendida,360
201,7/16/16,Estacionamiento,Alquiler,Cancún,87," $565,587 ",1/25/17,Joaquín,Vendida,193
202,7/16/16,Casa,Alquiler,Monterrey,62," $251,596 ",6/20/17,Jesús,Vendida,339
203,7/16/16,Industrial,Venta,Cancún,101," $564,186 ",1/21/17,Pedro,Vendida,189
204,7/17/16,Oficina,Venta,Cancún,79," $694,331 ",3/10/17,Carmen,Vendida,236
205,7/18/16,Local,Venta,Ciudad de México,82," $419,348 ",3/12/17,Jesús,Vendida,237
206,7/20/16,Industrial,Venta,Ciudad de México,65," $628,095 ",3/8/17,María,Vendida,231
207,7/20/16,Local,Venta,Monterrey,237," $1,403,988 ",6/27/17,Carmen,Vendida,342
208,7/21/16,Casa,Alquiler,Ciudad de México,275," $1,711,325 ",4/27/17,Luisa,Vendida,280
209,7/21/16,Local,Venta,Tijuana,125," $804,625 ",6/26/17,Carmen,Vendida,340
210,7/22/16,Terreno,Venta,Ciudad de México,57," $567,492 ",2/8/17,Carmen,Vendida,201
211,7/23/16,Departamento,Alquiler,Monterrey,198," $1,916,442 ",4/14/17,Joaquín,Vendida,265
212,7/24/16,Departamento,Alquiler,Monterrey,246," $1,875,012 ",3/8/17,Luisa,Vendida,227
213,7/25/16,Estacionamiento,Alquiler,Ciudad de México,53," $280,741 ",7/1/17,Jesús,Vendida,341
214,7/25/16,Departamento,Alquiler,Monterrey,161," $960,526 ",6/21/17,Joaquín,Vendida,331
215,7/25/16,Departamento,Venta,Tijuana,237," $1,272,216 ",4/27/17,Jesús,Vendida,276
216,7/25/16,Casa,Alquiler,Ciudad de México,112," $513,968 ",4/30/17,Jesús,Vendida,279
217,7/26/16,Local,Alquiler,Monterrey,266," $1,881,950 ",1/15/17,María,Vendida,173
218,7/26/16,Local,Venta,Tijuana,98," $469,910 ",1/8/17,Joaquín,Vendida,166
219,7/26/16,Local,Venta,Ciudad de México,153," $639,999 ",5/11/17,Luisa,Vendida,289
220,7/26/16,Local,Alquiler,Cancún,167," $700,398 ",3/7/17,Luisa,Vendida,224
221,7/27/16,Terreno,Alquiler,Ciudad de México,79," $659,808 ",1/23/17,Pedro,Vendida,180
222,7/28/16,Local,Alquiler,Cancún,235," $1,897,155 ",7/1/17,Carmen,Vendida,338
223,7/28/16,Local,Alquiler,Ciudad de México,58," $251,430 ",5/30/17,Carmen,Vendida,306
224,7/28/16,Estacionamiento,Alquiler,Tijuana,280," $1,877,400 ",4/21/17,Joaquín,Vendida,267
225,7/29/16,Casa,Venta,Tijuana,54," $435,348 ",2/20/17,Pedro,Vendida,206
226,7/29/16,Oficina,Venta,Tijuana,154," $889,658 ",6/22/17,Joaquín,Vendida,328
227,7/29/16,Industrial,Venta,Monterrey,148," $811,780 ",4/17/17,Luisa,Vendida,262
228,7/30/16,Estacionamiento,Venta,Cancún,226," $1,634,884 ",7/20/17,María,Vendida,355
229,7/31/16,Local,Venta,Cancún,297," $1,767,744 ",3/23/17,Pedro,Vendida,235
230,8/1/16,Casa,Alquiler,Monterrey,257," $1,077,601 ",2/7/17,Luisa,Vendida,190
231,8/1/16,Estacionamiento,Alquiler,Monterrey,161," $1,050,203 ",2/4/17,Joaquín,Vendida,187
232,8/1/16,Oficina,Alquiler,Ciudad de México,77," $613,921 ",3/23/17,María,Vendida,234
233,8/2/16,Departamento,Alquiler,Tijuana,184," $1,286,344 ",7/2/17,Joaquín,Vendida,334
234,8/2/16,Local,Alquiler,Cancún,56," $469,168 ",3/8/17,Pedro,Vendida,218
235,8/2/16,Oficina,Venta,Cancún,138," $1,372,686 ",6/17/17,Carmen,Vendida,319
236,8/3/16,Terreno,Venta,Cancún,95," $627,570 ",3/16/17,Carmen,Vendida,225
237,8/3/16,Terreno,Alquiler,Monterrey,46," $435,712 ",3/31/17,Luisa,Vendida,240
238,8/3/16,Estacionamiento,Alquiler,Monterrey,145," $999,630 ",5/1/17,Pedro,Vendida,271
239,8/4/16,Terreno,Venta,Cancún,213," $1,234,974 ",6/23/17,Carmen,Vendida,323
240,8/4/16,Industrial,Alquiler,Cancún,171," $1,148,436 ",6/29/17,Pedro,Vendida,329
241,8/4/16,Industrial,Venta,Tijuana,262," $1,343,798 ",4/15/17,Jesús,Vendida,254
242,8/4/16,Estacionamiento,Venta,Ciudad de México,62," $358,360 ",7/23/17,Luisa,Vendida,353
243,8/5/16,Casa,Venta,Ciudad de México,71," $323,760 ",3/15/17,María,Vendida,222
244,8/6/16,Casa,Venta,Ciudad de México,94," $735,456 ",5/2/17,María,Vendida,269
245,8/8/16,Local,Alquiler,Ciudad de México,76," $738,568 ",3/22/17,Joaquín,Vendida,226
246,8/8/16,Oficina,Alquiler,Tijuana,289," $1,275,646 ",1/29/17,Pedro,Vendida,174
247,8/8/16,Casa,Alquiler,Monterrey,147," $919,632 ",6/23/17,Luisa,Vendida,319
248,8/9/16,Industrial,Venta,Monterrey,227," $1,218,763 ",7/27/17,Joaquín,Vendida,352
249,8/9/16,Casa,Alquiler,Tijuana,174," $1,408,182 ",5/23/17,Jesús,Vendida,287
250,8/10/16,Local,Alquiler,Ciudad de México,149," $704,323 ",8/3/17,Luisa,Vendida,358
251,8/10/16,Departamento,Alquiler,Ciudad de México,212," $1,817,264 ",6/25/17,María,Vendida,319
252,8/10/16,Estacionamiento,Alquiler,Ciudad de México,45," $360,765 ",3/5/17,María,Vendida,207
253,8/10/16,Estacionamiento,Venta,Tijuana,49," $418,019 ",2/22/17,Pedro,Vendida,196
254,8/11/16,Terreno,Venta,Ciudad de México,210," $1,117,620 ",5/12/17,Carmen,Vendida,274
255,8/11/16,Local,Venta,Tijuana,127," $1,058,545 ",1/23/17,Joaquín,Vendida,165
256,8/11/16,Casa,Venta,Tijuana,294," $2,658,936 ",6/21/17,Luisa,Vendida,314
257,8/11/16,Casa,Alquiler,Monterrey,92," $879,244 ",5/6/17,Joaquín,Vendida,268
258,8/12/16,Casa,Alquiler,Tijuana,241," $1,085,705 ",1/28/17,Pedro,Vendida,169
259,8/12/16,Local,Venta,Ciudad de México,283," $1,992,320 ",4/7/17,María,Vendida,238
260,8/12/16,Departamento,Alquiler,Tijuana,231," $1,237,929 ",4/13/17,Luisa,Vendida,244
261,8/13/16,Departamento,Venta,Ciudad de México,172," $1,283,980 ",1/27/17,Carmen,Vendida,167
262,8/13/16,Oficina,Alquiler,Ciudad de México,78," $391,560 ",1/20/17,Pedro,Vendida,160
263,8/13/16,Terreno,Alquiler,Tijuana,93," $705,963 ",3/30/17,Pedro,Vendida,229
264,8/14/16,Terreno,Alquiler,Tijuana,58," $406,290 ",7/4/17,Carmen,Vendida,324
